,Country,country_code,country,year,HIV_deaths,population,health_budget_prop,HIV_mortality
430,Zimbabwe,ZWE,Zimbabwe,2001,150000.0,12000000.0,9.3,1250.0
20,Botswana,BWA,Botswana,2001,15000.0,1710000.0,9.7,877.2
210,Lesotho,LSO,Lesotho,2001,14000.0,2000000.0,9.0,700.0
420,Zambia,ZMB,Zambia,2001,68000.0,10300000.0,10.5,660.2
140,Eswatini,SWZ,Eswatini,2001,6700.0,1050000.0,10.2,638.1
240,Malawi,MWI,Malawi,2001,63000.0,11600000.0,8.7,543.1
290,Namibia,NAM,Namibia,2001,8600.0,1860000.0,10.3,462.4
370,South Africa,ZAF,South Africa,2001,210000.0,47600000.0,11.2,441.2
410,Uganda,UGA,Uganda,2001,100000.0,24700000.0,9.7,404.9
60,Central African Republic,CAF,Central African Republic,2001,15000.0,3920000.0,11.5,382.7
200,Kenya,KEN,Kenya,2001,120000.0,31600000.0,8.4,379.7
390,Tanzania,TZA,Tanzania,2001,130000.0,35200000.0,11.2,369.3
100,Cote d'Ivoire,CIV,Cote d'Ivoire,2001,51000.0,18200000.0,5.6,280.2
320,Rwanda,RWA,Rwanda,2001,21000.0,8290000.0,9.8,253.3
280,Mozambique,MOZ,Mozambique,2001,43000.0,18500000.0,14.8,232.4
40,Burundi,BDI,Burundi,2001,14000.0,6630000.0,8.3,211.2
50,Cameroon,CMR,Cameroon,2001,31000.0,15300000.0,6.8,202.6
90,Congo (Brazzaville),COG,"Congo, Rep.",2001,5800.0,3270000.0,4.2,177.4
150,Gabon,GAB,Gabon,2001,2000.0,1310000.0,4.0,152.7
220,Liberia,LBR,Liberia,2001,3900.0,3020000.0,11.5,129.1
30,Burkina Faso,BFA,Burkina Faso,2001,15000.0,12300000.0,9.8,122.0
400,Togo,TGO,Togo,2001,6400.0,5280000.0,8.5,121.2
310,Nigeria,NGA,Nigeria,2001,150000.0,130000000.0,3.2,115.4
70,Chad,TCD,Chad,2001,8900.0,8800000.0,13.8,101.1
170,Ghana,GHA,Ghana,2001,16000.0,20200000.0,9.8,79.2
130,Eritrea,ERI,Eritrea,2001,1800.0,2310000.0,4.6,77.9
110,Djibouti,DJI,Djibouti,2001,600.0,771000.0,11.8,77.8
180,Guinea,GIN,Guinea,2001,6300.0,8540000.0,6.4,73.8
250,Mali,MLI,Mali,2001,7200.0,11900000.0,11.9,60.5
0,Angola,AGO,Angola,2001,10000.0,16700000.0,6.1,59.9
190,Guinea-Bissau,GNB,Guinea-Bissau,2001,600.0,1260000.0,2.2,47.6
10,Benin,BEN,Benin,2001,3100.0,7450000.0,12.0,41.6
330,Sao Tome and Principe,STP,Sao Tome and Principe,2001,60.0,146000.0,7.0,41.1
120,Equatorial Guinea,GNQ,Equatorial Guinea,2001,300.0,750000.0,9.8,40.0
360,Somalia,SOM,Somalia,2001,2800.0,9200000.0,4.2,30.4
270,Mauritius,MUS,Mauritius,2001,350.0,1230000.0,10.8,28.5
300,Niger,NER,Niger,2001,3200.0,11900000.0,10.1,26.9
260,Mauritania,MRT,Mauritania,2001,600.0,2680000.0,8.1,22.4
380,Sudan,SDN,Sudan,2001,6000.0,28500000.0,8.0,21.1
160,Gambia,GMB,Gambia,2001,300.0,1500000.0,7.0,20.0
340,Senegal,SEN,Senegal,2001,1400.0,10200000.0,8.1,13.7
350,Sierra Leone,SLE,Sierra Leone,2001,600.0,4690000.0,7.2,12.8
80,Comoros,COM,Comoros,2001,60.0,547000.0,5.0,11.0
230,Madagascar,MDG,Madagascar,2001,1300.0,17000000.0,15.0,7.6
431,Zimbabwe,ZWE,Zimbabwe,2002,160000.0,12100000.0,,1322.3
21,Botswana,BWA,Botswana,2002,16000.0,1740000.0,10.6,919.5
211,Lesotho,LSO,Lesotho,2002,16000.0,1990000.0,7.2,804.0
141,Eswatini,SWZ,Eswatini,2002,7700.0,1060000.0,9.9,726.4
421,Zambia,ZMB,Zambia,2002,69000.0,10600000.0,13.6,650.9
241,Malawi,MWI,Malawi,2002,67000.0,11900000.0,13.0,563.0
371,South Africa,ZAF,South Africa,2002,260000.0,48000000.0,11.5,541.7
291,Namibia,NAM,Namibia,2002,10000.0,1890000.0,11.1,529.1
201,Kenya,KEN,Kenya,2002,130000.0,32600000.0,8.0,398.8
411,Uganda,UGA,Uganda,2002,97000.0,25500000.0,9.7,380.4
61,Central African Republic,CAF,Central African Republic,2002,15000.0,4010000.0,10.2,374.1
391,Tanzania,TZA,Tanzania,2002,130000.0,36100000.0,10.9,360.1
101,Cote d'Ivoire,CIV,Cote d'Ivoire,2002,52000.0,18700000.0,5.2,278.1
281,Mozambique,MOZ,Mozambique,2002,50000.0,19000000.0,15.5,263.2
321,Rwanda,RWA,Rwanda,2002,21000.0,8400000.0,9.1,250.0
41,Burundi,BDI,Burundi,2002,15000.0,6820000.0,8.2,219.9
51,Cameroon,CMR,Cameroon,2002,33000.0,15700000.0,7.9,210.2
91,Congo (Brazzaville),COG,"Congo, Rep.",2002,5800.0,3350000.0,3.6,173.1
151,Gabon,GAB,Gabon,2002,2300.0,1350000.0,4.5,170.4
221,Liberia,LBR,Liberia,2002,4100.0,3090000.0,7.2,132.7
401,Togo,TGO,Togo,2002,7100.0,5410000.0,6.9,131.2
311,Nigeria,NGA,Nigeria,2002,170000.0,133000000.0,3.1,127.8
31,Burkina Faso,BFA,Burkina Faso,2002,14000.0,12700000.0,11.9,110.2
71,Chad,TCD,Chad,2002,10000.0,9120000.0,12.0,109.6
171,Ghana,GHA,Ghana,2002,18000.0,20700000.0,9.0,87.0
131,Eritrea,ERI,Eritrea,2002,2000.0,2390000.0,3.9,83.7
111,Djibouti,DJI,Djibouti,2002,600.0,796000.0,10.8,75.4
181,Guinea,GIN,Guinea,2002,6500.0,8670000.0,6.0,75.0
1,Angola,AGO,Angola,2002,11000.0,17300000.0,3.7,63.6
251,Mali,MLI,Mali,2002,7400.0,12300000.0,10.1,60.2
191,Guinea-Bissau,GNB,Guinea-Bissau,2002,600.0,1290000.0,7.7,46.5
11,Benin,BEN,Benin,2002,3300.0,7680000.0,9.7,43.0
331,Sao Tome and Principe,STP,Sao Tome and Principe,2002,60.0,150000.0,9.1,40.0
121,Equatorial Guinea,GNQ,Equatorial Guinea,2002,300.0,798000.0,26.9,37.6
361,Somalia,SOM,Somalia,2002,2900.0,9550000.0,,30.4
271,Mauritius,MUS,Mauritius,2002,350.0,1230000.0,9.3,28.5
301,Niger,NER,Niger,2002,3400.0,12300000.0,9.9,27.6
351,Sierra Leone,SLE,Sierra Leone,2002,1100.0,4970000.0,7.5,22.1
261,Mauritania,MRT,Mauritania,2002,600.0,2740000.0,10.5,21.9
381,Sudan,SDN,Sudan,2002,6300.0,29200000.0,7.7,21.6
161,Gambia,GMB,Gambia,2002,300.0,1540000.0,8.7,19.5
341,Senegal,SEN,Senegal,2002,1500.0,10500000.0,9.7,14.3
81,Comoros,COM,Comoros,2002,60.0,559000.0,6.8,10.7
231,Madagascar,MDG,Madagascar,2002,1400.0,17500000.0,13.2,8.0
432,Zimbabwe,ZWE,Zimbabwe,2003,160000.0,12200000.0,,1311.5
22,Botswana,BWA,Botswana,2003,17000.0,1780000.0,10.1,955.1
212,Lesotho,LSO,Lesotho,2003,18000.0,1990000.0,8.3,904.5
142,Eswatini,SWZ,Eswatini,2003,8500.0,1070000.0,12.1,794.4
422,Zambia,ZMB,Zambia,2003,71000.0,11000000.0,13.3,645.5
372,South Africa,ZAF,South Africa,2003,300000.0,48500000.0,11.2,618.6
242,Malawi,MWI,Malawi,2003,71000.0,12200000.0,16.7,582.0
292,Namibia,NAM,Namibia,2003,11000.0,1920000.0,11.3,572.9
62,Central African Republic,CAF,Central African Republic,2003,16000.0,4100000.0,12.5,390.2
202,Kenya,KEN,Kenya,2003,130000.0,33700000.0,7.8,385.8
412,Uganda,UGA,Uganda,2003,93000.0,26400000.0,10.0,352.3
392,Tanzania,TZA,Tanzania,2003,130000.0,37100000.0,11.3,350.4
282,Mozambique,MOZ,Mozambique,2003,58000.0,19400000.0,15.0,299.0
102,Cote d'Ivoire,CIV,Cote d'Ivoire,2003,53000.0,19100000.0,4.8,277.5
322,Rwanda,RWA,Rwanda,2003,21000.0,8590000.0,17.6,244.5
52,Cameroon,CMR,Cameroon,2003,35000.0,16200000.0,8.2,216.0
42,Burundi,BDI,Burundi,2003,15000.0,7040000.0,5.4,213.1
152,Gabon,GAB,Gabon,2003,2500.0,1380000.0,6.5,181.2
92,Congo (Brazzaville),COG,"Congo, Rep.",2003,5900.0,3450000.0,4.4,171.0
312,Nigeria,NGA,Nigeria,2003,190000.0,137000000.0,5.1,138.7
402,Togo,TGO,Togo,2003,7600.0,5550000.0,9.5,136.9
222,Liberia,LBR,Liberia,2003,4200.0,3120000.0,10.6,134.6
72,Chad,TCD,Chad,2003,11000.0,9490000.0,13.1,115.9
32,Burkina Faso,BFA,Burkina Faso,2003,14000.0,13100000.0,12.5,106.9
172,Ghana,GHA,Ghana,2003,19000.0,21300000.0,8.7,89.2
132,Eritrea,ERI,Eritrea,2003,2100.0,2490000.0,4.0,84.3
182,Guinea,GIN,Guinea,2003,6600.0,8870000.0,6.8,74.4
112,Djibouti,DJI,Djibouti,2003,600.0,814000.0,11.5,73.7
2,Angola,AGO,Angola,2003,12000.0,17900000.0,4.8,67.0
252,Mali,MLI,Mali,2003,7400.0,12700000.0,10.7,58.3
192,Guinea-Bissau,GNB,Guinea-Bissau,2003,600.0,1320000.0,6.9,45.5
12,Benin,BEN,Benin,2003,3500.0,7910000.0,10.7,44.2
332,Sao Tome and Principe,STP,Sao Tome and Principe,2003,60.0,154000.0,13.3,39.0
122,Equatorial Guinea,GNQ,Equatorial Guinea,2003,300.0,848000.0,7.5,35.4
362,Somalia,SOM,Somalia,2003,3000.0,9910000.0,,30.3
302,Niger,NER,Niger,2003,3700.0,12800000.0,9.4,28.9
272,Mauritius,MUS,Mauritius,2003,350.0,1240000.0,8.8,28.2
352,Sierra Leone,SLE,Sierra Leone,2003,1400.0,5180000.0,8.4,27.0
262,Mauritania,MRT,Mauritania,2003,600.0,2800000.0,7.2,21.4
382,Sudan,SDN,Sudan,2003,6400.0,29900000.0,7.2,21.4
162,Gambia,GMB,Gambia,2003,300.0,1580000.0,12.9,19.0
342,Senegal,SEN,Senegal,2003,1600.0,10700000.0,9.7,15.0
82,Comoros,COM,Comoros,2003,60.0,570000.0,8.3,10.5
232,Madagascar,MDG,Madagascar,2003,1400.0,18100000.0,11.9,7.7
433,Zimbabwe,ZWE,Zimbabwe,2004,150000.0,12400000.0,,1209.7
213,Lesotho,LSO,Lesotho,2004,19000.0,1970000.0,8.4,964.5
143,Eswatini,SWZ,Eswatini,2004,9300.0,1070000.0,8.8,869.2
23,Botswana,BWA,Botswana,2004,15000.0,1810000.0,17.3,828.7
373,South Africa,ZAF,South Africa,2004,340000.0,49000000.0,10.3,693.9
423,Zambia,ZMB,Zambia,2004,70000.0,11300000.0,14.2,619.5
293,Namibia,NAM,Namibia,2004,12000.0,1940000.0,10.7,618.6
243,Malawi,MWI,Malawi,2004,74000.0,12500000.0,21.0,592.0
63,Central African Republic,CAF,Central African Republic,2004,16000.0,4190000.0,11.0,381.9
203,Kenya,KEN,Kenya,2004,130000.0,34700000.0,7.7,374.6
393,Tanzania,TZA,Tanzania,2004,130000.0,38100000.0,8.5,341.2
283,Mozambique,MOZ,Mozambique,2004,65000.0,19800000.0,13.8,328.3
413,Uganda,UGA,Uganda,2004,89000.0,27200000.0,9.4,327.2
103,Cote d'Ivoire,CIV,Cote d'Ivoire,2004,53000.0,19600000.0,5.3,270.4
323,Rwanda,RWA,Rwanda,2004,21000.0,8820000.0,14.6,238.1
53,Cameroon,CMR,Cameroon,2004,36000.0,16600000.0,7.1,216.9
43,Burundi,BDI,Burundi,2004,15000.0,7310000.0,9.2,205.2
153,Gabon,GAB,Gabon,2004,2500.0,1420000.0,6.6,176.1
93,Congo (Brazzaville),COG,"Congo, Rep.",2004,5900.0,3570000.0,5.1,165.3
313,Nigeria,NGA,Nigeria,2004,210000.0,141000000.0,7.8,148.9
403,Togo,TGO,Togo,2004,8000.0,5700000.0,10.1,140.4
223,Liberia,LBR,Liberia,2004,4300.0,3160000.0,11.9,136.1
73,Chad,TCD,Chad,2004,12000.0,9920000.0,10.3,121.0
33,Burkina Faso,BFA,Burkina Faso,2004,13000.0,13500000.0,15.3,96.3
173,Ghana,GHA,Ghana,2004,20000.0,21900000.0,11.6,91.3
133,Eritrea,ERI,Eritrea,2004,2200.0,2600000.0,4.2,84.6
193,Guinea-Bissau,GNB,Guinea-Bissau,2004,1100.0,1350000.0,3.4,81.5
183,Guinea,GIN,Guinea,2004,6700.0,9060000.0,5.0,74.0
113,Djibouti,DJI,Djibouti,2004,600.0,826000.0,9.3,72.6
3,Angola,AGO,Angola,2004,12000.0,18600000.0,4.1,64.5
253,Mali,MLI,Mali,2004,7100.0,13100000.0,13.0,54.2
13,Benin,BEN,Benin,2004,3600.0,8160000.0,10.8,44.1
333,Sao Tome and Principe,STP,Sao Tome and Principe,2004,60.0,158000.0,10.0,38.0
123,Equatorial Guinea,GNQ,Equatorial Guinea,2004,300.0,900000.0,7.0,33.3
353,Sierra Leone,SLE,Sierra Leone,2004,1700.0,5360000.0,6.0,31.7
363,Somalia,SOM,Somalia,2004,3100.0,10300000.0,,30.1
303,Niger,NER,Niger,2004,4000.0,13300000.0,9.0,30.1
273,Mauritius,MUS,Mauritius,2004,350.0,1250000.0,9.7,28.0
383,Sudan,SDN,Sudan,2004,6400.0,30600000.0,7.2,20.9
263,Mauritania,MRT,Mauritania,2004,600.0,2870000.0,9.8,20.9
163,Gambia,GMB,Gambia,2004,300.0,1620000.0,11.7,18.5
343,Senegal,SEN,Senegal,2004,1700.0,11000000.0,9.1,15.5
83,Comoros,COM,Comoros,2004,60.0,581000.0,10.2,10.3
233,Madagascar,MDG,Madagascar,2004,1500.0,18600000.0,11.6,8.1
434,Zimbabwe,ZWE,Zimbabwe,2005,150000.0,12500000.0,,1200.0
214,Lesotho,LSO,Lesotho,2005,19000.0,1950000.0,6.8,974.4
144,Eswatini,SWZ,Eswatini,2005,9900.0,1080000.0,10.0,916.7
374,South Africa,ZAF,South Africa,2005,370000.0,49500000.0,10.4,747.5
294,Namibia,NAM,Namibia,2005,13000.0,1970000.0,12.5,659.9
24,Botswana,BWA,Botswana,2005,12000.0,1840000.0,16.9,652.2
244,Malawi,MWI,Malawi,2005,77000.0,12800000.0,20.0,601.6
424,Zambia,ZMB,Zambia,2005,65000.0,11700000.0,14.7,555.6
284,Mozambique,MOZ,Mozambique,2005,71000.0,20300000.0,18.2,349.8
64,Central African Republic,CAF,Central African Republic,2005,15000.0,4290000.0,7.8,349.7
204,Kenya,KEN,Kenya,2005,120000.0,35800000.0,8.1,335.2
394,Tanzania,TZA,Tanzania,2005,130000.0,39200000.0,9.3,331.6
414,Uganda,UGA,Uganda,2005,82000.0,28000000.0,11.2,292.9
104,Cote d'Ivoire,CIV,Cote d'Ivoire,2005,50000.0,20100000.0,4.5,248.8
54,Cameroon,CMR,Cameroon,2005,38000.0,17100000.0,7.7,222.2
324,Rwanda,RWA,Rwanda,2005,20000.0,9050000.0,15.6,221.0
44,Burundi,BDI,Burundi,2005,15000.0,7590000.0,11.6,197.6
154,Gabon,GAB,Gabon,2005,2300.0,1460000.0,4.7,157.5
94,Congo (Brazzaville),COG,"Congo, Rep.",2005,5700.0,3700000.0,6.2,154.1
314,Nigeria,NGA,Nigeria,2005,210000.0,145000000.0,6.4,144.8
404,Togo,TGO,Togo,2005,7900.0,5840000.0,9.8,135.3
224,Liberia,LBR,Liberia,2005,4300.0,3300000.0,11.1,130.3
74,Chad,TCD,Chad,2005,13000.0,10300000.0,13.4,126.2
174,Ghana,GHA,Ghana,2005,20000.0,22400000.0,15.3,89.3
194,Guinea-Bissau,GNB,Guinea-Bissau,2005,1200.0,1380000.0,4.0,87.0
34,Burkina Faso,BFA,Burkina Faso,2005,12000.0,13900000.0,18.7,86.3
134,Eritrea,ERI,Eritrea,2005,2200.0,2660000.0,2.5,82.7
114,Djibouti,DJI,Djibouti,2005,600.0,839000.0,13.7,71.5
184,Guinea,GIN,Guinea,2005,6400.0,9250000.0,3.5,69.2
4,Angola,AGO,Angola,2005,13000.0,19300000.0,4.4,67.4
124,Equatorial Guinea,GNQ,Equatorial Guinea,2005,600.0,947000.0,7.0,63.4
274,Mauritius,MUS,Mauritius,2005,600.0,1260000.0,9.4,47.6
254,Mali,MLI,Mali,2005,6100.0,13500000.0,11.4,45.2
14,Benin,BEN,Benin,2005,3700.0,8430000.0,11.1,43.9
334,Sao Tome and Principe,STP,Sao Tome and Principe,2005,60.0,162000.0,13.2,37.0
354,Sierra Leone,SLE,Sierra Leone,2005,2000.0,5500000.0,7.6,36.4
264,Mauritania,MRT,Mauritania,2005,1000.0,2940000.0,9.1,34.0
304,Niger,NER,Niger,2005,4200.0,13800000.0,14.8,30.4
364,Somalia,SOM,Somalia,2005,3100.0,10600000.0,,29.2
384,Sudan,SDN,Sudan,2005,6300.0,31300000.0,5.7,20.1
164,Gambia,GMB,Gambia,2005,300.0,1670000.0,11.3,18.0
